example_id,tweet_id,thread_id,text,historical_reply,intent,secondary_intent,decision,escalation_reason,required_reply_points,forbidden_claims,annotator_confidence,annotator,reviewed
label-0012,367092,367093,<HANDLE> Fb messenger will do I suppose! Thank you,<HANDLE> You're welcome! Let us know if you ever need us again. We'd be... <URL> 🙂 /NS,,,,,,,,,no
label-0013,2641123,2641124,<HANDLE> But when are you gonna be available in India?,"<HANDLE> Hey there! We don't have any info on this right now, but we'll be sure to announce any news at <URL> Sign up here to be first to hear: <URL> /CO",,,,,,,,,no
label-0014,1823448,1823448,"<HANDLE> we need help with a student subscription. Paid, but no access. Customer care hasn't responded. How do we get help?","<HANDLE> Hey Ira, help's here! Could you send us a DM with the account's username or email address? We'll take a look backstage 🔍 /DB <URL>",,,,,,,,,no
label-0015,2828383,2828383,Hey <HANDLE> / <HANDLE> why does the MF artist “follow” button not work on the iPhone?,"<HANDLE> Hey Brenton, help's here. Can you let us know the iPhone model you're using and the iOS and Spotify versions you're on? Are you also getting any error messages? /AY",,,,,,,,,no
label-0016,1191868,1191868,This song suggestion is DISRESPECTFUL to my Vybz Kartel playlist <HANDLE> dude sounds like he's constipated <URL>,"<HANDLE> Hey, there! Can you DM us your account's email address? We'll see what we can suggest /GK <URL>",,,,,,,,,no
label-0017,1741157,1741157,"<HANDLE> all saved songs gave disappeared from my app, maybe from update? Samsung s7","<HANDLE> Hey there! Just to check, are your songs removed from downloads or missing altogether? Keep us posted /PB",,,,,,,,,no
label-0018,2653156,2653159,"<HANDLE> ""Submitted 2012"" This doesn't exactly inspire confidence",<HANDLE> We understand where you're coming from. Rest assured our tech folks are keeping a close eye on all submissions posted on our Community page about this. We'll also make sure to pass on your feedback to them /KB,,,,,,,,,no
label-0019,2045321,2045321,"Thanks to my <HANDLE> hacker friend, I guess my new favorite artists are Avicii, DJ Snake, Ne-Yo, Pitbull and The Chainsmokers.",<HANDLE> Hey Colin! That doesn't sound right! Can you DM us your account's username or email address? We'll take a look backstage /JP <URL>,,,,,,,,,no
label-0020,1736619,150660,<HANDLE> <HANDLE> What’s the point when you have 4000 votes from 4 years ago and you haven’t done it. Shows you guys don’t really look at the votes. Just there to make customers feel like they are involved but clearly not.,<HANDLE> Thanks for the feedback – we appreciate it! We’ll get this passed onto the right team /LO,,,,,,,,,no
label-0021,2283756,2283756,<HANDLE> need help. My premium family plan won't work,<HANDLE> Hi Dawn! That doesn't sound good. Can you DM us your account's email address? We'll take a look backstage /AU <URL>,,,,,,,,,no
label-0022,1270515,1270519,<HANDLE> Great! Thanks for the support guys.,"<HANDLE> <URL> If anything else comes up, we're just a tweet away. Have a lovely day ✌️ /AC",,,,,,,,,no
label-0023,1694955,1694955,"<HANDLE>, nevermind- web player is working great again <URL>","<HANDLE> Awesome! If you ever need anything else, just shout and we'll come running 🏃 /DF",,,,,,,,,no
label-0024,897184,897189,<HANDLE> <HANDLE> Idk how to do anything lol im@glad I’m not alone,<HANDLE> Hey Becca! Is there anything we can help you with? Let us know 🙂 /GS,,,,,,,,,no
label-0025,76239,76239,Yet again <HANDLE> was happily playing on a device at home NOT anywhere near me in the office *sigh*,"<HANDLE> Hey Michele, help's here! Could you DM us your account's username or email address? We'll see what we can suggest /RE <URL>",,,,,,,,,no
label-0026,189936,189825,<HANDLE> <HANDLE> I’ve been trying to do this for a couple of weeks now but when I enter my information it says that it can’t verify me as a student,"<HANDLE> Hey there! Don't worry, we're here to help. Can you DM us your account's email address or username? We'll take a look backstage /MT <URL>",,,,,,,,,no
label-0027,1270533,1270533,"<HANDLE> I see that if you’re a student you can get spotify and hulu for 4.99 I’m not a student so i pay the full 9.99 can I also get hulu with spotify for the one price, and if so how?","<HANDLE> Hi Bryan! We're afraid you can get the Hulu bundle when you're subscribed to the student discount only. Users on the regular Premium won't be eligible for the offer, but we'll be sure to pass your feedback on to the right folks. Let us know if you have any questions /NY",,,,,,,,,no
label-0028,2774608,2774609,<HANDLE> It worked! Thank u so much 💕,"<HANDLE> Awesome, no worries! Thanks for letting us know 🙂 /L",,,,,,,,,no
label-0029,1044744,1044745,<HANDLE> when i try to play from my playlists it’ll play one song and then it’ll just disappear and not let me play any other playlists,<HANDLE> We see! Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /CG,,,,,,,,,no
label-0030,42723,42723,Spotify needs to have an option to go straight to singles.,<HANDLE> Hey Callum! We're always open for feedback. Can you give us a bit more info about your idea? We'll be waiting /MC,,,,,,,,,no
label-0031,2259648,2259648,"Wtf. If you disconnect a Bluetooth speaker/cans, <HANDLE> for ios continues to play via phone speaker now. That's a huge change :(",<HANDLE> Hey there! What device and Spotify version are you using? We'll see what we can suggest /BH,,,,,,,,,no
label-0032,356502,356502,<HANDLE> where's Acid Rap and 10 Day tho? #smh,"<HANDLE> Hey Brynn! We’d love to have both albums available, but we have some info about content here: <URL> /SJ",,,,,,,,,no
label-0033,1356645,1356645,everytime I open Spotify it drops my fps on overwatch from 70 to 10 wtf <HANDLE>,"<HANDLE> Hey there, the cavalry's here! Could you DM us with your account's username and email address? We'll take a look backstage /TB",,,,,,,,,no
label-0034,1317762,1317753,<HANDLE> Please we need the queue option on the webplayer. It's useless without it!!!!,<HANDLE> Hey! We appreciate the feedback. We'll let the right team know it's something you'd like to have again /JL,,,,,,,,,no
label-0035,2361927,2361927,<HANDLE> why is Islands in the Stream not on your Stranger Things playlist??? That's the one Joyce and Bob dance to!,"<HANDLE> Hi Ali, thanks for the feedback! Our Curation team are independent, but we’ll make sure to pass on your suggestion /GT",,,,,,,,,no
label-0036,1896842,1896842,"<HANDLE> Unfortunately your support is very bad. You kicked my daughter out of my Family Premium Abo, even if she lives in our house.","<HANDLE> Hey Klaus, that's not cool! Can you DM us the username or email address on your daughter's account? We'll take a look backstage /GN <URL>",,,,,,,,,no
label-0037,2577750,2577750,Hey <HANDLE> I don’t wanna use <HANDLE> stop asking,"<HANDLE> Hey Jake, that doesn't sound good. What device, operating system, and Spotify version are you using? We'll help out /CM",,,,,,,,,no
label-0038,1222148,1222148,It would also be nice <HANDLE> if I could rearrange the order of my playlists. <URL>,"<HANDLE> Hey there, we hear you! In your created playlists you can click, hold, and drag a track wherever you'd like. Stay awesome 😁 /TY",,,,,,,,,no
label-0039,1075220,1075220,Please please please put this back online 😫 <HANDLE> #OneLoveManchester doesn’t play anymore <URL>,"<HANDLE> Hey Jacqueline, we'd love to help. Can you send us the link to the playlist? Just tap the three dots &gt; Share &gt; Copy Link /JP",,,,,,,,,no
label-0040,264841,264841,"<HANDLE> I remember my username, but for some reason my email isn't recognized. Can you help? DM me please!","<HANDLE> Hi Derrick, we're happy to help! Can you DM us your username and any email addresses you might have used to create your account? /GT <URL>",,,,,,,,,no
label-0041,1069144,1069144,Would be really nice if <HANDLE> didn't intransparently prioritize ancient 64kbps mono MP3 rips over even standard quality streams. 🤔,<HANDLE> Hey there! Can you let us know what's happening exactly? We'll see how we can help /JP,,,,,,,,,no
label-0042,2922435,2922435,<HANDLE> is there any way to load up last weeks discover weekly? I missed my window for saving the songs,"<HANDLE> Hey there! Unfortunately we're unable to recover your previous Discover Weekly. Be sure to save your favorites, so you don't miss out in the future /NQ",,,,,,,,,no
label-0043,2387463,2387463,Why isn't there a <HANDLE> app for the #AppleWatch?!?,<HANDLE> Hey! Check out the official idea and add your vote to let our devs know it's something you'd like to see: <URL> /RE,,,,,,,,,no
label-0044,2788006,2788006,<HANDLE> <HANDLE> I did the UI for the time capsule playlist on the iOS app. Do that for everything. Spruce it up.,"<HANDLE> Hey Tom, thanks for the feedback – we appreciate it! We’ll get this passed onto the right team 💚 /CG",,,,,,,,,no
label-0045,2746350,2746355,"<HANDLE> and as far as i can tell, they're still out of sync (based on some initial tests just now)","<HANDLE> Thanks for that info. Could you tell us if this happening on your device while connected to WiFi, 3G/4G or both? /AV",,,,,,,,,no
label-0046,186495,186503,<HANDLE> just noticed randomly today nothing has changed on my end I haven't used it in a week or so prior,"<HANDLE> Hmm. Does logging out of the web player, restarting your device, and logging back in make a difference? /LO",,,,,,,,,no
label-0047,1890639,1890639,<HANDLE> upgraded to premium a week ago but my account is still a free subscription?,<HANDLE> Hi Trenton! Can you send us a DM with your account's email address and username? We'll take a look under the hood /NJ <URL>,,,,,,,,,no
label-0048,886694,886694,<HANDLE> I love music. And no premium subscription. I don’t have enough money on my PayPal: what should I do?!,<HANDLE> Hey there! Can you DM us your account's email address or username? We'll check backstage /AR <URL>,,,,,,,,,no
label-0049,38309,38307,"<HANDLE> <HANDLE> I’m having payment problems, I’ve messaged you",<HANDLE> <HANDLE> Hey Siobhan! We've just replied to your DM. We'll carry on helping out there /KM,,,,,,,,,no
label-0050,2798535,2798535,Hey <HANDLE> what’s going on with my Family plan?,"<HANDLE> Hey there, help's here! Could you DM us exactly what's happening? We'll see what we can suggest /CG <URL>",,,,,,,,,no
label-0051,2983688,2983688,<HANDLE> PS connecting to facebook doesn't work via your site right now.,"<HANDLE> Hi Adam, help's here! Can you DM us your account's email address? We'll take a look backstage /DV <URL>",,,,,,,,,no
label-0052,1148106,1148117,<HANDLE> I’ll try that now. Thank you!,<HANDLE> Sounds good! We'll keep an eye out for your update /YM,,,,,,,,,no
label-0053,2583326,2583326,<HANDLE> hey guys just sent you a DM regarding a problem with keeping my premium account. It was part of my <HANDLE> phone plan. They said to contact you guys.,"<HANDLE> Hey there! Not to worry, we've just sent you a bit more info over DM. We'll carry on helping out there /MT",,,,,,,,,no
label-0054,1100139,1100137,<HANDLE> nothing worked; last thing that happened before this problem was an ad came up after a song finished and for some reason I couldn't skip the ad by clicking the play button to the next song on the playlist,<HANDLE> Are you getting any error messages? Can you try using a different browser or an incognito window? /PL,,,,,,,,,no
label-0055,2902810,2902810,<HANDLE> I updated my payment method and it took the $4.99 out of my bank account but my premium still isn't working..,"<HANDLE> Hey there, help's here! Could you DM us your account's username and email address? We'll check it out /DQ <URL>",,,,,,,,,no
label-0056,1777402,1777402,<HANDLE> my account seems to have dissapeared. Can you help?,<HANDLE> Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ <URL>,,,,,,,,,no
label-0057,957245,957245,<HANDLE> I'm having the #spotiamb.0.2.1 problem. Have I been hacked? Could you help?,"<HANDLE> Hi Ed, we're here to help. Can you DM us your account's email address? We'll check backstage /AC <URL>",,,,,,,,,no
label-0058,2291955,2291955,Someone please tell me why it sounds like this and how can I get the old/real version back? Please and thank you <HANDLE> <HANDLE> #whydontwethesegirls <URL>,<HANDLE> Hey! We've just sent a DM your way. Let's carry on chatting there /GL,,,,,,,,,no
label-0059,2895458,2895456,<HANDLE> No. Neither did updating to the latest verson or restarting my computer. It has been like this for 8 days. Very strange.. this is the playlist: <URL> <URL>,<HANDLE> Thanks for the screenshot. Can you DM us the link to your playlist? We'll take a look under the hood /PB <URL>,,,,,,,,,no
label-0060,1617562,1617562,<HANDLE> why does your 💩 IOS app skip ten seconds at a time.,<HANDLE> Hi Jack! Can you let us know your iPhone's iOS and version of Spotify you're using? We'll see what we can suggest /DR,,,,,,,,,no
label-0061,1217407,1217407,"I had a complex issue with my account, and <HANDLE> got it sorted. Well done, thanks!","<HANDLE> Hi Will, you're welcome! Thanks for the kind words. It's music to our ears. If you need anything else, just give us a shout 🙂 /RK",,,,,,,,,no
label-0062,33431,33435,"<HANDLE> Can’t tell straight away, need to see the music behaviour for a bit. Will get back as soon as i know :)",<HANDLE> Sounds like a plan! We'll be right here waiting for your update /KM,,,,,,,,,no
label-0063,1297706,1297707,<HANDLE> I already solved it. CTRL + F5 helped ;-),<HANDLE> Nice! Let us know if you ever need us again. We'd be... <URL> /RS,,,,,,,,,no
label-0064,254970,254994,"<HANDLE> Good to hear it. When is ""soon""? #ProveSpotifyCares","<HANDLE> We don't have any info to share right now. Don't worry, we'll make sure to let everyone know as soon as we have something to announce /GU",,,,,,,,,no
label-0065,1412669,1412670,"<HANDLE> Yea i read it,but still..So many great songs but they will never be on spotify cus they need to pay for it or the artist are already dead ☹️","<HANDLE> Due to licensing reasons, some tunes you like may not appear on Spotify. We appreciate your feedback, and we'll pass it on /RA",,,,,,,,,no
label-0066,854766,854766,"<HANDLE> page to get it to start playing again. After a few times doing that, the app locks up all together. Pandora streams fine /2","<HANDLE> Hey, this doesn't sound good! Can you let us know the device, OS and browser you're using? We'll see what we can suggest /DB",,,,,,,,,no
label-0067,642123,642123,<HANDLE> loving the new album but Low Key and Loose Change are cut short on <HANDLE> . Anyway you can contact <HANDLE> ? <URL>,<HANDLE> Hey there! Can you send us the Song Links for both tracks? Just tap the three dots &gt; Share &gt; Copy Link. Keep us posted /LM,,,,,,,,,no
label-0068,1275676,1275676,<HANDLE> hi! I've been trying to DM you guys about my artist verification. Can someone help me out? Thanks!,<HANDLE> Hi there! We've replied to your DM now. Let's keep on chatting there 🙂 /M <URL>,,,,,,,,,no
label-0069,830227,830224,<HANDLE> Launch*,"<HANDLE> We hear you 🎧 Rest assured, your feedback will be passed on to the right folks 🙂 /KL",,,,,,,,,no
label-0070,708720,708722,<HANDLE> Windows 10 and I tried both Microsoft Edge and Google Chrome browsers,"<HANDLE> Thanks! Are you getting any error messages? If so, a screenshot will be super helpful /GT",,,,,,,,,no
label-0071,1480904,1480905,<HANDLE> Sure. Win 10 pro. Spotify version 1.0.66.478.g1296534d,<HANDLE> Thanks. Can you give this a try: log out from Spotify &gt; restart your device &gt; log back in? Did that make a difference? /DR,,,,,,,,,no
label-0072,1944096,1944097,<HANDLE> Need that Apple Watch app,<HANDLE> Hey! Check out the official idea and add your vote to let our devs know it's something you'd like to see: <URL> /NQ,,,,,,,,,no
label-0073,1134238,1134238,<HANDLE> how do we make a playlist on a artist page?,<HANDLE> Hey Charlie! We have some helpful info about this here: <URL> Give us a shout if there's anything else /AY,,,,,,,,,no
label-0074,1033681,1033681,"<HANDLE> Hey I am idle with the Spotify window open, but someone/something is using a web player on my behalf! I'm using FB login..",<HANDLE> Hey Stefan! Can you DM us your account's email address? We'll take a look backstage /SJ <URL>,,,,,,,,,no
label-0075,305900,305906,<HANDLE> Sorted. Had to delete my list of offline devices but it seems to have worked. Cheers.,"<HANDLE> Awesome, thanks for letting us know. We're just here if you need us again. Enjoy the music! <URL> /GT",,,,,,,,,no
label-0076,373752,373752,.<HANDLE> add Lonely Night to <HANDLE>’s page. She did that shit,"<HANDLE> Hey Justine! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: <URL> /AR",,,,,,,,,no
label-0077,704838,704838,"<HANDLE> cancelled my facebook account which was linked to my spotify account; If I can no longer access it, how can I cancel my spotify account to create a new one?","<HANDLE> Hey Carlos, help's arrived! Can you shoot us a DM with your account's username and email address? We'll check things out for you 🔍 /AV <URL>",,,,,,,,,no
label-0078,1938811,1938812,<HANDLE> High school or just university students?,<HANDLE> Hey! The student discount is only available for college/university students. There's more info about that here: <URL> /RB,,,,,,,,,no
label-0079,1125884,1125884,"<HANDLE> Worse customer satisfaction guaranteed, go to Apple Music. I've messaged spotify a few times no reply, we should petition..","<HANDLE> Hey Robert, we'll continue to look into this for you. We'll send over a DM and check things out /J",,,,,,,,,no
label-0080,2153174,2153174,"yo <HANDLE> / <HANDLE> any chance of getting The Latin Dimensions version if ""Hurts so Bad"" ? You've got the best of and that's great and all? but that track is fantastic and it means the world to me.","<HANDLE> Hey there! We’d love to have all of their stuff available, but we have some info about Spotify content here: <URL> /RI",,,,,,,,,no
label-0081,1809146,1809146,"<HANDLE> hi, I have Spotify charges on my credit card. Although, I never signed up for it...",<HANDLE> Hey there! Can you DM us any email addresses or usernames you may have signed up with? We'll take a look backstage /SU <URL>,,,,,,,,,no
label-0082,2547456,2547454,"<HANDLE> Dang that didn’t do it :(. When Snapchat opens, Spotify fades out. I’m betting it’s an iPhone issue. You guys rule, and the service is perfect otherwise. So it’s gotta be Snapchat or an iOS thing.",<HANDLE> Thanks for giving it a try though. Can you send us your account's email address so we can make sure everything's still working fine backstage? /RR <URL>,,,,,,,,,no
label-0083,1033478,1033478,"<HANDLE> Hi, I cant set hi-res streaming on my android TV. Please in next update. I use TV &gt; DAC-V1 &gt; NAP 100 &gt; KEF LS50",<HANDLE> Hey there! Can you DM us your account's email address? We'll take a look under the hood /QI <URL>,,,,,,,,,no
label-0084,2485960,2485961,"<HANDLE> Yes, I just updated to High Sierra and still not working. It also doesn't work on my Windows 10 machine. Maybe it has something to do with language and location? I'm in Spain but my OS's are in English.","<HANDLE> Thanks for the info. Just to check, are you getting any error messages? If so, a screenshot of it will be handy /NY",,,,,,,,,no
label-0085,2305647,2305647,<HANDLE> Hi do you have an support email I can contact?,<HANDLE> Hey there! You can get in touch with us via email here: <URL> Hope that helps /NQ,,,,,,,,,no
label-0086,1850974,1850974,<HANDLE> why do I have a bunch of songs greyed out on my songs list??..,"<HANDLE> Hey there! Can you let us know the device, operating system, and app version you're using? We'll see what we can suggest /PB",,,,,,,,,no
label-0087,807392,807395,"<HANDLE> It's a Lenovo laptop running on Windows 8, and I think it's version 1.0.65.320.gac7a8e02 (that's what I got from Help &gt; About Spotify)","<HANDLE> Thanks. Could you try logging out and back in? Also, does restarting your computer help at all? Keep us posted /RS",,,,,,,,,no
label-0088,383399,383398,<HANDLE> Good morning. I have a family acount. the two accounts of my family have gone to Free. What should I do ?,"<HANDLE> Could you send us a DM with your account's, as well as your family members', email address or username? We'll take a look backstage /DR <URL>",,,,,,,,,no
label-0089,1847314,1847319,"<HANDLE> Hmm, that hasn't seemed to work. And still no error message at all. Maybe this is just one of those things that'll fix itself in an update.",<HANDLE> Thanks for the feedback. We'll make sure it's passed on. We can keep helping out. Can you DM us a screenshot of your web player? /MU <URL>,,,,,,,,,no
label-0090,373043,373043,<HANDLE> <HANDLE> bring back the 30 second preview! Why take that away?,<HANDLE> Hey! We have more info about this here: <URL> Give us a shout if you have any questions /NQ,,,,,,,,,no
label-0091,76244,76244,<HANDLE> please help me with my login.,<HANDLE> Hey there! Can you DM us your account's username or email address? We'll take a look backstage /MS <URL>,,,,,,,,,no
label-0092,2597227,2597231,<HANDLE> Not at this moment but it has happened before ... the currently play bar blocks the home buttons making me have to swipe to close,<HANDLE> Got it. Just drop us a tweet if the issue happens again. We'll come running to you 🏃 /MT,,,,,,,,,no
label-0093,1346908,1346909,<HANDLE> Maybe add a button to dislike songs that you don't want to hear more of? It's been like this for maybe two months now,"<HANDLE> We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 For anything else, let us know /GU",,,,,,,,,no
label-0094,708733,708733,<HANDLE> if all <HANDLE> back catalogue of songs is on <HANDLE> why hell cant we have it on the Uk one!!! 😡😡😡😡😡😭😢,"<HANDLE> 1: Hi there! Reasons for this vary: agreements with artists or labels may be ongoing or can’t be reached, or ownership of...",,,,,,,,,no
label-0095,2891271,2891271,<HANDLE> Any news about spotify being released in Romania ? I heard shoulb be released this month .. thanks,<HANDLE> Hey! We're launching in new countries as often as possible. Be sure to add your email at <URL> /BD,,,,,,,,,no
label-0096,1847687,1847687,"<HANDLE> Listening to my playlist offline today, first time suggested songs/playlist radio have appeared. How does that happen offline?","<HANDLE> Hi there! Can you DM us your account's email address? Also, what device, operating system, and Spotify version are you using? /NY <URL>",,,,,,,,,no
label-0097,1670661,1670661,"<HANDLE> Hi, I'm a massive fan of majid jordan, and was hoping to receive a link for the pre sale.",<HANDLE> Hey! We've sent some info via DM. Check your inbox for it /SJ,,,,,,,,,no
label-0098,2171532,2171532,"<HANDLE> I received an email saying I changed my email address when I hadn't, now my account has been taken by a stranger. Help please!",<HANDLE> Hey Phoebe! We've just replied to your DM. Let's continue chatting there /JL,,,,,,,,,no
label-0099,970847,970847,"<HANDLE> Why the hell has update logged me out, cannot remember my log in details. Just gonna cancel my direct debit as cannot be arsed.","<HANDLE> Hey there! Don't worry, we can help. Can you DM us your account's email address or username? We'll see what we can suggest /PB <URL>",,,,,,,,,no
label-0100,2822761,2822761,"<HANDLE> hey so all I want is to listen to the Heathers soundtrack but there’s only 4 songs on Spotify, why is this?","<HANDLE> Hey Stephanie! We’d love to have all of the tracks available, but we have some info about content here: <URL> /RE",,,,,,,,,no
label-0101,1038265,1038265,"<HANDLE> should fix their description for BTS, they're not known as ""Beyond The Scenes"", they're still known as ""Bangtan Sonyeondan""...",<HANDLE> Hey there! Can you send us a screenshot of what you're seeing on your end? We'll check it out /NS,,,,,,,,,no
label-0102,788967,788972,<HANDLE> Perhaps you need to give them a harder nudge or a kick; try reading the forums. You are losing customers over this.,"<HANDLE> We hear you. Rest assured, we'll be passing your feedback on to the right folks /GT",,,,,,,,,no
label-0103,2839346,2839346,"Ok <HANDLE>, it’s 2017, can you PLEASE do a less shitty job when it comes to shuffle. The reason I use shuffle is to randomize songs. Not to organize my playlist by artist/album 🤦‍♀️","<HANDLE> Hey Noel! We’ve recently made some improvements to our shuffle algorithm. We’d love to hear your feedback here: <URL> For anything else, let us know /GU",,,,,,,,,no
label-0104,2890054,2890054,"Still nothing, even when I'm on WiFi. Any solution to this, <HANDLE>? Seems like a fatal flaw in your login system. <URL>",<HANDLE> Hey there! Can you fire over your account's email address or username via DM? We'll see what we can suggest /RC <URL>,,,,,,,,,no
label-0105,2306970,2306971,<HANDLE> Thanks...I suggest you eliminate the Account page from app. It’s completely useless. Even with Premium: <URL>,<HANDLE> Thanks for sharing your thoughts on this. We'll make sure to pass them on to the right team. Give us a shout if there's anything else /AY,,,,,,,,,no
label-0106,916080,916081,<HANDLE> <HANDLE> friendly reminder that you should consider this for the benefit of all Australian listeners ☺️,"<HANDLE> Hey, thanks for the feedback! Our Curation team are independent &amp; use taste, data, research, and trends, but we’ll pass on your request /AY",,,,,,,,,no
label-0107,653574,653574,"My Oh My, var är Slade på Spotify när du behöver dem?","<HANDLE> We can help out in English via Twitter, but we also have Swedish support through email at <URL> /DB",,,,,,,,,no
label-0108,969968,969963,<HANDLE> Ok,<HANDLE> Great! Let us know how you get on /DF,,,,,,,,,no
label-0109,1815849,1815849,<HANDLE> why can’t I save a song from my lock screen,<HANDLE> Hey! We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /NQ <URL>,,,,,,,,,no
label-0110,1092309,1092309,<HANDLE> Hey i was trying to accept a family invite but it comes up with a error message saying i cant be a part of that family.,<HANDLE> Hi Noah. We'd like to share more info with you. Can you drop us a DM? We'll be waiting /JE <URL>,,,,,,,,,no
label-0111,773108,773105,<HANDLE> Thank you for your help!,"<HANDLE> Sure thing! If you need us again, you know where to find us. <URL> 🙂 /JN",,,,,,,,,no
label-0112,1902097,1902097,they need to bring back the lyrics function first hmph <URL>,<HANDLE> Hey there! Lyrics is currently unavailable as we're making some big improvements to the feature. We'll share more updates soon /CH,,,,,,,,,no
label-0113,401779,401779,"Whoa <HANDLE> , did you just charge me even though I cancelled temporarily a few days ago ? Nice. <URL>",<HANDLE> Hey there! Can you DM us your account's email address and username? We'll take a look backstage /SU <URL>,,,,,,,,,no
label-0114,2029002,2029002,"<HANDLE> I am unable to login to my account? Tried resetting, it even had my profile name like I was already logged in at the top. Help!","<HANDLE> Hey, help's arrived! Could you send us a DM with your account's email address? We'll take a look backstage /CH <URL>",,,,,,,,,no
label-0115,2319499,2319499,.<HANDLE> Every time I open Spotify on any of my computers I just get a blank black screen. Any ideas how to fix before I give up and just go over to YouTube instead?,"<HANDLE> Hey Alex, help's here! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /GK",,,,,,,,,no
label-0116,2815052,2815052,<HANDLE> can you check your DMs please? I’m locked out of my account,<HANDLE> Hi Chelsea. We've just sent a DM your way. Let's carry on chatting there /JU,,,,,,,,,no
label-0117,739485,739488,"<HANDLE> Hi! Thank you for the quick reply. And I hope so, too. Can’t wait for it","<HANDLE> No worries! If you have any other questions, just let us know. We're... <URL> 🙂 /CG",,,,,,,,,no
label-0118,1477034,1477045,<HANDLE> I have an idea: I think this only happens when I listen via an Amazon Echo. Can it be you don't allow repeat one there?,"<HANDLE> Thanks for the heads-up. Just to clarify, are you trying to do the ""Repeat One"" command when using Amazon Echo? /MT",,,,,,,,,no
label-0119,2116835,2116835,"<HANDLE> Hi, how can I pay with itunes?","<HANDLE> 1: Hey there! We're afraid that paying via iTunes is not possible at the moment, but we have different payment options available.",,,,,,,,,no
label-0120,2118795,2118795,hey spotify subscriber friends - if you're signed up through itunes you're paying $3 extra a month. double check your subscription - I realized I've been overpaying forever!,<HANDLE> Hey Jacin! Can you DM us your account's username or email address? We'll check backstage /NG <URL>,,,,,,,,,no
label-0121,422084,422084,<HANDLE> I'm using trial premium. How do I ensure I don't pay for premium? No way I can see to cancel premium..,<HANDLE> <HANDLE> Hey! We've just sent you a DM. Let's carry on chatting there /JO,,,,,,,,,no
label-0122,2664693,2664693,Michael Pangilinan covers must be uploaded on <HANDLE> :(,"<HANDLE> Hey Mich! We’d love to have all of his stuff available, but we have some info about content here: <URL> /AY",,,,,,,,,no
label-0123,1706433,1706427,<HANDLE> Also - suggested songs do not match what is on this playlist,<HANDLE> 2: number of Suggested Tracks you're getting. Hope this helps /AR,,,,,,,,,no
